"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07","515.9410","490.1610","517.2629","485.0750","-","5.48%"
"Jun 07","489.1520","467.5860","499.1090","465.3770","-","3.93%"
"May 07","470.6480","470.9727","484.0420","454.8400","-","-0.80%"
"Apr 07","474.4641","467.1642","477.8383","459.3198","-","1.36%"
"Mar 07","468.1150","448.5116","468.1502","436.4039","-","4.38%"
"Feb 07","448.4914","422.5295","450.9571","422.5295","-","4.98%"
"Jan 07","427.2178","432.1335","432.1335","392.6523","-","-1.48%"
"Dec 06","433.6465","462.4187","462.4187","431.0525","-","-6.47%"
"Nov 06","463.6554","429.5622","463.6554","428.2353","-","8.02%"
"Oct 06","429.2243","420.1734","447.0071","409.6788","-","0.27%"
"Sep 06","428.0533","459.0111","459.0111","418.0165","-","-8.12%"
"Aug 06","465.8680","498.4193","506.7766","464.2655","-","-6.50%"
"Jul 06","498.2476","485.4300","509.6343","482.0140","-","2.80%"
"Jun 06","484.6753","471.2759","484.6753","459.9281","-","2.13%"
"May 06","474.5546","484.0205","500.5345","464.9891","-","-0.05%"
"Apr 06","474.7863","445.1778","496.1841","441.2490","-","7.29%"
"Mar 06","442.5190","418.3736","447.3778","410.9630","-","6.41%"
"Feb 06","415.8627","445.3492","445.3492","405.4679","-","-8.38%"
"Jan 06","453.9183","438.1793","456.6674","432.1028","-","5.14%"
"Dec 05","431.7214","425.4086","457.5468","417.0102","-","3.80%"
"Nov 05","415.9086","421.0456","427.8506","407.7445","-","-1.65%"
"Oct 05","422.8764","466.9965","466.9965","422.8764","-","-9.94%"
"Sep 05","469.5595","475.2529","475.2529","435.3258","-","0.95%"
"Aug 05","465.1507","408.7134","467.5680","406.9561","-","15.71%"
"Jul 05","401.9990","390.7274","408.2864","383.4584","-","5.85%"
"Jun 05","379.7879","368.9709","399.0615","366.1164","-","7.02%"
"May 05","354.8881","357.1423","361.4620","341.0289","-","0.34%"
"Apr 05","353.6854","391.5963","391.5963","353.6854","-","-7.80%"
"Mar 05","383.6221","355.0824","385.2551","355.0824","-","7.80%"
"Feb 05","355.8531","326.8229","355.8531","315.6633","-","7.35%"
"Jan 05","331.4828","304.1925","338.1748","304.1925","-","6.77%"
"Dec 04","310.4673","326.5933","332.5043","303.2428","-","-9.35%"
"Nov 04","342.5017","346.9508","350.2470","330.5201","-","-3.59%"
"Oct 04","355.2492","339.3015","373.2011","337.2008","-","5.19%"
"Sep 04","337.7328","303.7866","337.7328","296.3365","-","14.26%"
"Aug 04","295.5954","305.9600","322.0625","295.5954","-","-3.86%"
"Jul 04","307.4776","294.2479","307.4776","293.2093","-","7.38%"
"Jun 04","286.3553","315.6003","315.6003","280.3381","-","-5.00%"
"May 04","301.4126","294.9385","310.8826","294.9385","-","4.11%"
"Apr 04","289.5122","276.7797","290.1607","275.0795","-","2.62%"
"Mar 04","282.1227","282.9823","286.8468","272.1516","-","1.24%"
"Feb 04","278.6556","266.5418","278.6556","256.6276","-","7.14%"
"Jan 04","260.0880","261.6553","276.3313","259.6715","-","-0.17%"
"Dec 03","260.5434","246.9491","271.6895","246.9491","-","6.00%"
"Nov 03","245.8032","235.6278","256.2180","234.9616","-","3.07%"
"Oct 03","238.4895","233.2744","252.9424","233.2744","-","2.52%"
"Sep 03","232.6344","232.1754","234.7582","221.3021","-","-4.05%"
"Aug 03","242.4590","241.8148","245.9133","237.8994","-","3.99%"
"Jul 03","233.1563","233.8183","237.8759","227.5195","-","-0.02%"
"Jun 03","233.2028","240.6407","242.8608","227.7912","-","-0.87%"
"May 03","235.2415","215.9180","235.2415","213.9411","-","9.09%"
"Apr 03","215.6376","227.3601","230.1770","212.5866","-","-7.16%"
"Mar 03","232.2788","271.0940","276.1538","218.5813","-","-16.62%"
"Feb 03","278.5720","251.4533","278.5720","251.4533","-","9.91%"
"Jan 03","253.4514","240.8537","254.1480","235.7204","-","7.78%"
"Dec 02","235.1541","220.1022","243.7579","216.6020","-","8.11%"
"Nov 02","217.5085","217.1124","218.4081","204.5763","-","0.04%"
"Oct 02","217.4230","229.1161","229.1161","215.4259","-","-4.44%"
"Sep 02","227.5257","209.6962","228.5812","209.6962","-","5.71%"
"Aug 02","215.2304","200.2870","217.1401","199.1665","-","5.81%"
"Jul 02","203.4048","203.8104","207.3289","198.9574","-","0.31%"
"Jun 02","202.7765","193.9817","202.7765","190.0010","-","4.37%"
"May 02","194.2879","201.4025","210.3676","191.3539","-","-4.87%"
"Apr 02","204.2329","204.5998","210.0896","186.5684","-","1.49%"
"Mar 02","201.2279","180.3043","201.2279","180.3043","-","13.99%"
"Feb 02","176.5311","170.2396","176.7066","166.9939","-","6.33%"
"Jan 02","166.0257","173.2103","175.5065","163.6220","-","-1.85%"
"Dec 01","169.1572","171.1926","174.7635","163.4038","-","-0.25%"
"Nov 01","169.5750","172.0513","179.5397","161.9622","-","-3.31%"
"Oct 01","175.3805","180.5032","184.1190","174.0097","-","-3.49%"
"Sep 01","181.7182","201.4165","214.2537","176.4508","-","-10.48%"
"Aug 01","203.0028","201.5153","206.9833","200.2939","-","0.64%"
"Jul 01","201.7200","201.1673","208.9452","196.4458","-","-0.47%"
"Jun 01","202.6644","216.8409","223.1542","200.4938","-","-6.87%"
"May 01","217.6236","225.9424","227.5950","217.6236","-","-2.95%"
"Apr 01","224.2305","210.8111","230.5235","210.8111","-","5.40%"
"Mar 01","212.7381","222.8057","229.3934","212.7381","-","-4.17%"
"Feb 01","221.9866","235.2427","242.9454","221.9866","-","-2.20%"
"Jan 01","226.9736","239.3006","246.4047","226.9736","-","-8.08%"
"Dec 00","246.9237","249.9348","254.3747","234.4839","-","-3.69%"
"Nov 00","256.3840","239.3945","262.9087","237.7022","-","8.31%"
"Oct 00","236.7139","243.5356","261.2689","236.7072","-","-0.32%"
"Sep 00","237.4833","245.3099","255.9134","235.0279","-","-2.83%"
"Aug 00","244.3988","215.3192","244.7140","215.3192","-","14.57%"
"Jul 00","213.3268","235.4018","235.4018","213.3268","-","-9.50%"
"Jun 00","235.7137","226.1956","237.8327","223.9036","-","5.61%"
"May 00","223.2031","205.4560","229.0205","205.4560","-","9.84%"
"Apr 00","203.2085","204.6767","205.0087","193.1008","-","-1.78%"
"Mar 00","206.8815","222.5149","230.4045","203.9219","-","-4.23%"
"Feb 00","216.0089","209.3361","216.0089","205.6049","-","4.67%"
"Jan 00","206.3650","194.2237","209.0047","188.5528","-","6.08%"
"Dec 99","194.5372","190.9778","197.7741","189.4886","-","2.57%"
"Nov 99","189.6623","183.5998","198.9199","182.7891","-","4.56%"
"Oct 99","181.3901","191.0734","191.0734","175.8071","-","-5.06%"
"Sep 99","191.0630","181.2474","192.9837","178.2450","-","5.20%"
"Aug 99","181.6245","171.2025","181.6245","170.9188","-","7.36%"
"Jul 99","169.1718","162.6501","170.6022","161.5676","-","3.56%"
"Jun 99","163.3620","149.9942","163.3620","149.9942","-","7.32%"
"May 99","152.2197","161.6340","162.4368","152.1697","-","-5.44%"
"Apr 99","160.9771","152.8592","160.9771","149.2558","-","4.57%"
"Mar 99","153.9354","131.1051","154.2953","131.1051","-","17.68%"
"Feb 99","130.8113","133.4895","133.9257","130.0031","-","-3.30%"
"Jan 99","135.2692","134.7565","140.4372","132.1659","-","1.69%"
"Dec 98","133.0190","133.1336","136.9559","128.8857","-","-0.35%"
"Nov 98","133.4806","148.2528","150.8457","133.4806","-","-10.11%"
"Oct 98","148.4851","150.7718","152.2520","146.9205","-","-3.43%"
"Sep 98","153.7656","139.3525","153.7656","138.7980","-","12.27%"
"Aug 98","136.9596","141.2222","144.1204","136.9596","-","-4.63%"
"Jul 98","143.6022","154.9575","154.9575","143.6022","-","-7.47%"
"Jun 98","155.1993","157.1086","158.8751","149.4570","-","-1.94%"
"May 98","158.2691","166.5160","166.5160","156.4468","-","-3.43%"
"Apr 98","163.8963","165.4283","169.3189","163.6716","-","-1.69%"
"Mar 98","166.7150","164.9506","170.9636","158.0785","-","0.98%"
"Feb 98","165.0984","174.0576","174.0576","163.4723","-","-5.26%"
"Jan 98","174.2636","173.2876","176.8663","167.2654","-","-0.77%"
"Dec 97","175.6230","189.3757","189.3757","175.6230","-","-6.92%"
"Nov 97","188.6889","205.6334","205.9964","188.6889","-","-9.35%"
"Oct 97","208.1534","201.4265","211.4592","201.4265","-","3.18%"
"Sep 97","201.7335","197.5146","203.8038","194.2411","-","3.05%"
"Aug 97","195.7684","194.5230","197.9974","190.9203","-","1.81%"
"Jul 97","192.2873","185.5789","192.2873","181.1499","-","3.84%"
"Jun 97","185.1689","195.5138","195.5138","182.5341","-","-6.18%"
"May 97","197.3687","196.7891","202.9404","193.9964","-","0.31%"
"Apr 97","196.7678","191.3600","196.7678","186.5516","-","2.25%"
"Mar 97","192.4289","188.8339","196.3189","188.8339","-","1.91%"
"Feb 97","188.8185","203.8218","205.3196","188.6945","-","-7.85%"
"Jan 97","204.9099","217.0707","228.8586","204.9099","-","-4.81%"
"Dec 96","215.2563","218.8679","228.4117","211.4646","-","-1.70%"
"Nov 96","218.9817","203.7491","220.0094","202.2481","-","6.86%"
"Oct 96","204.9208","204.3093","213.4756","204.1500","-","-0.14%"
"Sep 96","205.2159","201.1110","206.1821","199.0708","-","3.38%"
"Aug 96","198.5151","198.7488","204.1453","196.5199","-","1.98%"
"Jul 96","194.6520","207.5215","211.0129","192.5204","-","-5.75%"
"Jun 96","206.5216","203.5239","206.5216","199.4194","-","1.30%"
"May 96","203.8712","209.9898","212.0257","203.8712","-","-2.61%"
"Apr 96","209.3274","209.2467","216.6828","207.7418","-","1.29%"
"Mar 96","206.6640","195.4975","209.1285","193.6818","-","4.54%"
"Feb 96","197.6960","194.9348","199.2238","189.5035","-","0.45%"
"Jan 96","196.8141","207.4250","208.8923","183.8825","-","-3.28%"
"Dec 95","203.4971","189.6976","206.7909","189.6976","-","8.29%"
"Nov 95","187.9269","183.5260","189.6052","183.5260","-","2.63%"
"Oct 95","183.1156","182.8375","183.1156","178.2145","-","1.12%"
"Sep 95","181.0815","181.5780","184.4710","180.1449","-","0.31%"
"Aug 95","180.5308","175.5394","180.5308","174.6524","-","1.80%"
"Jul 95","177.3371","174.2289","177.3371","171.8471","-","1.63%"
"Jun 95","174.4889","182.0874","183.3169","174.4889","-","-3.49%"
"May 95","180.8068","185.0587","185.7908","179.4222","-","-1.54%"
"Apr 95","183.6347","179.1509","184.3021","179.1509","-","2.56%"
"Mar 95","179.0597","176.2208","179.8988","174.3175","-","1.10%"
"Feb 95","177.1083","176.1450","178.4646","174.4060","-","0.63%"
"Jan 95","176.0039","178.6776","179.2470","173.9222","-","-2.63%"
"Dec 94","180.7578","174.1751","180.7578","170.8985","-","3.19%"
"Nov 94","175.1664","180.4971","180.7888","175.1664","-","-2.16%"
"Oct 94","179.0360","171.2233","180.2436","169.9872","-","4.45%"
"Sep 94","171.4158","170.3351","173.2863","169.0443","-","0.68%"
"Aug 94","170.2628","183.9851","183.9851","168.5162","-","-6.72%"
"Jul 94","182.5207","180.5738","182.5207","175.6787","-","1.35%"
"Jun 94","180.0834","175.5542","184.3707","173.2981","-","1.88%"
"May 94","176.7601","174.2991","177.4535","172.5194","-","1.26%"
"Apr 94","174.5563","174.4247","176.5996","171.8223","-","2.45%"
"Mar 94","170.3859","171.1877","172.8422","167.6031","-","-0.49%"
"Feb 94","171.2320","180.8500","181.8524","170.1435","-","-3.45%"
"Jan 94","177.3524","164.5262","177.3524","164.5262","-","8.44%"
"Dec 93","163.5542","165.6624","166.8143","162.2670","-","-0.92%"
"Nov 93","165.0651","173.0772","174.9963","165.0651","-","-3.71%"
"Oct 93","171.4164","177.3321","179.6971","171.4164","-","-3.35%"
"Sep 93","177.3570","174.3650","177.3570","170.5652","-","0.86%"
"Aug 93","175.8414","174.8461","177.9123","173.1143","-","1.03%"
"Jul 93","174.0556","175.4504","177.4328","170.6977","-","-1.09%"
"Jun 93","175.9696","181.3573","181.3573","174.6645","-","-2.90%"
"May 93","181.2161","188.0347","188.0347","181.2161","-","-3.44%"
"Apr 93","187.6663","190.5105","190.7541","185.5684","-","-1.32%"
"Mar 93","190.1710","186.3016","190.1710","186.2911","-","1.97%"
"Feb 93","186.5014","183.3931","186.5014","181.2886","-","1.72%"
"Jan 93","183.3482","179.2787","183.8239","177.5368","-","1.29%"
"Dec 92","181.0064","178.2443","183.1070","175.4189","-","0.51%"
"Nov 92","180.0958","183.9565","183.9565","180.0958","-","-1.27%"
"Oct 92","182.4082","188.0272","190.7819","182.1496","-","-2.48%"
"Sep 92","187.0465","187.1782","189.2271","186.7395","-","0.35%"
"Aug 92","186.3997","185.7219","187.0408","182.9001","-","-0.16%"
"Jul 92","186.6917","191.2086","192.0220","186.4855","-","-2.20%"
"Jun 92","190.8873","193.0365","196.0347","190.8873","-","-1.10%"
"May 92","193.0193","190.6657","193.6244","185.1660","-","1.52%"
"Apr 92","190.1203","186.4998","190.1203","185.6207","-","2.91%"
"Mar 92","184.7368","180.0212","185.3353","180.0212","-","1.63%"
"Feb 92","181.7778","182.9407","189.2804","179.9067","-","-0.32%"
"Jan 92","182.3528","177.8286","183.8580","172.6546","-","3.07%"
"Dec 91","176.9177","188.0909","188.0909","174.4274","-","-6.94%"
"Nov 91","190.1044","200.2224","200.7197","188.9072","-","-4.25%"
"Oct 91","198.5509","193.9427","201.7791","193.9427","-","2.38%"
"Sep 91","193.9276","192.1621","194.8965","189.7211","-","0.67%"
"Aug 91","192.6421","190.8022","192.9110","187.2793","-","0.39%"
"Jul 91","191.8876","186.1121","191.8876","185.5788","-","3.47%"
"Jun 91","185.4473","193.1335","193.1335","183.6174","-","-3.86%"
"May 91","192.8900","197.5890","199.5815","192.8900","-","-1.59%"
"Apr 91","195.9980","192.8825","199.9437","192.8825","-","0.96%"
"Mar 91","194.1259","192.3325","199.1923","191.4191","-","1.51%"
"Feb 91","191.2345","193.1810","195.9278","183.3225","-","-1.65%"
"Jan 91","194.4476","211.2772","228.3512","184.6536","-","-11.60%"
"Dec 90","219.9700","223.7200","228.4900","206.8500","-","-3.36%"
"Nov 90","227.6100","250.0500","251.3800","225.0900","-","-8.73%"
"Oct 90","249.3700","260.3100","270.4100","228.3200","-","-7.71%"
"Sep 90","270.1900","236.4200","270.4100","236.4200","-","19.84%"
"Aug 90","225.4500","199.3400","253.4100","199.3400","-","14.56%"
"Jul 90","196.8000","184.4700","196.8000","181.5600","-","6.85%"
"Jun 90","184.1800","189.2900","189.2900","182.6600","-","-2.97%"
"May 90","189.8100","196.1800","197.4400","189.8100","-","-2.13%"
"Apr 90","193.9400","200.4000","200.6100","190.1200","-","-2.35%"
"Mar 90","198.6100","192.8600","198.6100","192.8600","-","1.36%"
"Feb 90","195.9400","198.5200","200.9500","195.2800","-","-1.45%"
"Jan 90","198.8300","212.0900","215.6400","196.7500","-","-4.06%"
"Dec 89","207.2500","193.5300","207.2500","193.0700","-","7.91%"
"Nov 89","192.0500","191.4800","193.8500","189.2000","-","1.18%"
"Oct 89","189.8100","192.3500","194.3700","188.4600","-","-1.76%"
"Sep 89","193.2200","183.2200","193.2200","183.2200","-","5.04%"
"Aug 89","183.9500","177.8200","184.0500","177.4200","-","2.45%"
"Jul 89","179.5500","188.4500","190.2200","178.1900","-","-5.14%"
"Jun 89","189.2700","188.2300","193.0500","179.7000","-","0.39%"
"May 89","188.5400","199.3800","199.3800","184.4500","-","-4.59%"
"Apr 89","197.6100","196.1100","201.6000","192.7400","-","-0.01%"
"Mar 89","197.6200","186.8400","198.5300","186.8400","-","6.02%"
