DATE,A229RX0
2004-06-01,36273.0
2004-07-01,36332.0
2004-08-01,36422.0
2004-09-01,36417.0
2004-10-01,36407.0
2004-11-01,36276.0
2004-12-01,37591.0
2005-01-01,36199.0
2005-02-01,36199.0
2005-03-01,36312.0
2005-04-01,36403.0
2005-05-01,36537.0
2005-06-01,36591.0
2005-07-01,36609.0
2005-08-01,36636.0
2005-09-01,36465.0
2005-10-01,36617.0
2005-11-01,36817.0
2005-12-01,36918.0
2006-01-01,37297.0
2006-02-01,37454.0
2006-03-01,37576.0
2006-04-01,37530.0
2006-05-01,37475.0
2006-06-01,37496.0
2006-07-01,37457.0
2006-08-01,37401.0
2006-09-01,37576.0
2006-10-01,37723.0
2006-11-01,37850.0
2006-12-01,38000.0
2007-01-01,37962.0
2007-02-01,38055.0
2007-03-01,38145.0
2007-04-01,38167.0
2007-05-01,38156.0
2007-06-01,38101.0
2007-07-01,38107.0
2007-08-01,38092.0
2007-09-01,38127.0
2007-10-01,38083.0
2007-11-01,38015.0
2007-12-01,38118.0
2008-01-01,38095.0
2008-02-01,38049.0
2008-03-01,38015.0
2008-04-01,37841.0
2008-05-01,39653.0
2008-06-01,38619.0
2008-07-01,37992.0
2008-08-01,37739.0
2008-09-01,37789.0
2008-10-01,38037.0
2008-11-01,38328.0
2008-12-01,38111.0
2009-01-01,38290.0
2009-02-01,37875.0
2009-03-01,37833.0
2009-04-01,38025.0
2009-05-01,38541.0
2009-06-01,37809.0
2009-07-01,37616.0
2009-08-01,37515.0
2009-09-01,37596.0
2009-10-01,37453.0
2009-11-01,37533.0
2009-12-01,37699.0
2010-01-01,37721.0
2010-02-01,37732.0
2010-03-01,37859.0
2010-04-01,38151.0
2010-05-01,38412.0
2010-06-01,38409.0
2010-07-01,38433.0
2010-08-01,38529.0
2010-09-01,38499.0
2010-10-01,38474.0
2010-11-01,38481.0
2010-12-01,38680.0
2011-01-01,38831.0
2011-02-01,38915.0
2011-03-01,38784.0
