"Date","Price","Open","High","Low","Change %"
"Jul 29, 2018","2.8142","2.8480","2.8870","2.8140","-1.12%"
"Jul 22, 2018","2.8462","2.7640","2.8680","2.7510","2.96%"
"Jul 15, 2018","2.7645","2.7230","2.7950","2.7230","1.39%"
"Jul 08, 2018","2.7266","2.7230","2.7740","2.7230","0.32%"
"Jul 01, 2018","2.7178","2.7360","2.7730","2.7010","-0.79%"
"Jun 24, 2018","2.7395","2.7670","2.7700","2.6940","-0.99%"
"Jun 17, 2018","2.7668","2.7990","2.8200","2.7230","-1.15%"
"Jun 10, 2018","2.7991","2.7940","2.8710","2.7690","0.49%"
"Jun 03, 2018","2.7855","2.7550","2.8290","2.7250","1.42%"
"May 27, 2018","2.7466","2.7330","2.7700","2.5590","-0.61%"
"May 20, 2018","2.7635","2.9120","2.9170","2.7570","-4.31%"
"May 13, 2018","2.8881","2.8450","2.9570","2.8280","1.76%"
"May 06, 2018","2.8382","2.7890","2.8430","2.7770","1.83%"
"Apr 29, 2018","2.7871","2.8480","2.8480","2.7450","-0.60%"
"Apr 22, 2018","2.8039","2.8070","2.8540","2.7960","0.08%"
"Apr 15, 2018","2.8016","2.6860","2.8020","2.6760","4.89%"
"Apr 08, 2018","2.6709","2.5980","2.6910","2.5820","3.22%"
"Apr 01, 2018","2.5875","2.5800","2.6450","2.5350","1.00%"
"Mar 25, 2018","2.5620","2.6080","2.6500","2.5400","-1.56%"
"Mar 18, 2018","2.6027","2.6540","2.7350","2.5860","-1.54%"
"Mar 11, 2018","2.6435","2.6610","2.6690","2.5890","-0.32%"
"Mar 04, 2018","2.6519","2.6100","2.6770","2.5690","0.77%"
"Feb 25, 2018","2.6317","2.6250","2.6870","2.5630","0.45%"
"Feb 18, 2018","2.6200","2.6530","2.6930","2.6050","-0.28%"
"Feb 11, 2018","2.6274","2.5810","2.6870","2.5220","3.31%"
"Feb 04, 2018","2.5433","2.5900","2.6120","2.3430","-1.74%"
"Jan 28, 2018","2.5883","2.4700","2.6210","2.4670","4.78%"
"Jan 21, 2018","2.4702","2.4580","2.4820","2.4090","0.72%"
"Jan 14, 2018","2.4525","2.3530","2.4540","2.3260","4.52%"
"Jan 07, 2018","2.3465","2.2950","2.3820","2.2730","2.68%"
"Dec 31, 2017","2.2852","2.2310","2.2920","2.2150","3.57%"
"Dec 24, 2017","2.2064","2.2540","2.2630","2.1930","-1.97%"
"Dec 17, 2017","2.2507","2.1710","2.2560","2.1510","4.58%"
"Dec 10, 2017","2.1521","2.1450","2.1990","2.1070","0.49%"
"Dec 03, 2017","2.1415","2.1680","2.1730","2.1030","1.04%"
"Nov 26, 2017","2.1194","2.0700","2.1710","2.0380","2.70%"
"Nov 19, 2017","2.0636","2.0530","2.1150","2.0380","0.42%"
"Nov 12, 2017","2.0550","2.0560","2.0920","2.0180","0.01%"
"Nov 05, 2017","2.0548","2.0000","2.0580","1.9770","3.09%"
"Oct 29, 2017","1.9933","2.0220","2.0590","1.9750","-1.95%"
"Oct 22, 2017","2.0330","2.0270","2.0930","1.9980","0.71%"
"Oct 15, 2017","2.0186","1.9200","2.0270","1.9100","6.25%"
"Oct 08, 2017","1.8998","1.9590","1.9690","1.8960","-2.96%"
"Oct 01, 2017","1.9578","1.9440","2.0030","1.8930","0.95%"
"Sep 24, 2017","1.9393","1.8770","1.9540","1.8280","4.00%"
