Date,avg_ret,regime
6/26/2016,3.028344673,2
6/19/2016,-1.646853387,1
6/12/2016,-1.488724221,1
6/5/2016,-0.345986375,1
5/29/2016,0.390042755,1
5/22/2016,2.8564613,1
5/15/2016,0.687789362,1
5/8/2016,-0.666118842,1
5/1/2016,-0.801569466,1
4/24/2016,-1.609836838,1
4/17/2016,0.501270848,1
4/10/2016,2.08730208,1
4/3/2016,-1.263245287,1
3/27/2016,2.444423022,1
3/20/2016,-1.000870481,1
3/13/2016,1.263354418,1
3/6/2016,0.808998549,1
2/28/2016,3.201666697,2
2/21/2016,2.019387371,1
2/14/2016,3.434831129,2
2/7/2016,-0.978399697,1
1/31/2016,-4.190076303,0
1/24/2016,1.347920071,1
1/17/2016,1.578321361,1
1/10/2016,-2.966908519,1
1/3/2016,-6.8164577,0
12/27/2015,-1.038026826,1
12/20/2015,2.801586976,1
12/13/2015,-0.277455645,1
12/6/2015,-4.211510076,0
11/29/2015,-0.398265517,1
11/22/2015,0.794744486,1
11/15/2015,3.096797252,2
11/8/2015,-4.020299488,0
11/1/2015,1.764956564,1
10/25/2015,0.108555121,1
10/18/2015,1.732842474,1
10/11/2015,0.595672608,1
10/4/2015,3.476412492,2
9/27/2015,0.353186829,1
9/20/2015,-2.381994736,1
9/13/2015,0.092296359,1
9/6/2015,2.209143751,1
8/30/2015,-2.964372523,1
8/23/2015,1.247710948,1
8/16/2015,-5.69742164,0
8/9/2015,0.490549972,1
8/2/2015,-1.736146953,1
7/26/2015,1.055492817,1
7/19/2015,-2.519491618,1
7/12/2015,2.497089972,1
7/5/2015,0.019655204,1
6/28/2015,-1.593300246,1
6/21/2015,-0.487220468,1
6/14/2015,1.100459114,1
6/7/2015,0.01565068,1
5/31/2015,0.006795459,1
5/24/2015,-0.640279097,1
5/17/2015,0.462776652,1
5/10/2015,0.576488253,1
5/3/2015,0.302248174,1
4/26/2015,-1.517468488,1
4/19/2015,1.982803786,1
4/12/2015,-1.063988075,1
4/5/2015,1.538032684,1
3/29/2015,0.472219555,1
3/22/2015,-2.284397039,1
3/15/2015,2.824694275,1
3/8/2015,-0.356489372,1
3/1/2015,-1.265212557,1
2/22/2015,-0.071599059,1
2/15/2015,0.830167605,1
2/8/2015,2.136966617,1
2/1/2015,2.971853203,1
1/25/2015,-2.442839434,1
1/18/2015,1.731146161,1
1/11/2015,-1.164341745,1
1/4/2015,-0.75046979,1
12/28/2014,-1.442070491,1
12/21/2014,1.094902563,1
12/14/2014,3.251055221,2
12/7/2014,-3.057795294,0
11/30/2014,0.285015649,1
11/23/2014,0.524896402,1
